[2026-09-13T15:45:48.769Z] GET https://fonts.gstatic.com/s/notosansjp/v56/-F62fjtqLzI2JPCgQBnw7HFowwII2lcnk-AFfrgQrvWXpdFg3KXxAMsKMbdN.110.woff2 → pending (?ms, ?B)
[2026-09-13T15:45:48.769Z] GET https://fonts.gstatic.com/s/notosansjp/v56/-F62fjtqLzI2JPCgQBnw7HFowwII2lcnk-AFfrgQrvWXpdFg3KXxAMsKMbdN.7.woff2 → pending (?ms, ?B)
[2026-09-13T15:45:48.769Z] GET https://fonts.gstatic.com/s/notosansjp/v56/-F62fjtqLzI2JPCgQBnw7HFowwII2lcnk-AFfrgQrvWXpdFg3KXxAMsKMbdN.106.woff2 → pending (?ms, ?B)
[2026-09-13T15:45:48.769Z] GET https://fonts.gstatic.com/s/notosansjp/v56/-F62fjtqLzI2JPCgQBnw7HFowwII2lcnk-AFfrgQrvWXpdFg3KXxAMsKMbdN.102.woff2 → pending (?ms, ?B)
[2026-09-13T15:46:53.823Z] GET https://fonts.gstatic.com/s/notosansjp/v56/-F62fjtqLzI2JPCgQBnw7HFowwII2lcnk-AFfrgQrvWXpdFg3KXxAMsKMbdN.101.woff2 → pending (?ms, ?B)
[2026-09-13T15:46:53.823Z] GET https://fonts.gstatic.com/s/notosansjp/v56/-F62fjtqLzI2JPCgQBnw7HFowwII2lcnk-AFfrgQrvWXpdFg3KXxAMsKMbdN.94.woff2 → pending (?ms, ?B)
[2026-09-13T15:46:53.823Z] GET https://fonts.gstatic.com/s/notosansjp/v56/-F62fjtqLzI2JPCgQBnw7HFowwII2lcnk-AFfrgQrvWXpdFg3KXxAMsKMbdN.92.woff2 → 200 (50ms, 18905B)
[2026-09-13T15:46:53.823Z] GET https://fonts.gstatic.com/s/notosansjp/v56/-F62fjtqLzI2JPCgQBnw7HFowwII2lcnk-AFfrgQrvWXpdFg3KXxAMsKMbdN.108.woff2 → 200 (53ms, 18545B)
[2026-09-13T15:46:53.894Z] GET http://127.0.0.1:5173/ → 200 (3ms, ?B)
[2026-09-13T15:46:53.905Z] GET http://127.0.0.1:5173/@vite/client → 200 (3ms, ?B)
[2026-09-13T15:46:53.905Z] GET https://fonts.googleapis.com/css2?family=Manrope:wght@400;500;600;700&family=Noto+Sans+JP:wght@400;500;700&family=Roboto+Condensed:wght@400;500;700&family=Roboto+Flex:opsz,wght@8..144,100..1000&display=swap → 200 (1ms, -743B)
[2026-09-13T15:46:53.907Z] GET http://127.0.0.1:5173/src/styles/base.css → 200 (?ms, 1677B)
[2026-09-13T15:46:53.907Z] GET http://127.0.0.1:5173/src/js/main.js → 200 (1ms, ?B)
[2026-09-13T15:46:53.908Z] GET http://127.0.0.1:5173/node_modules/vite/dist/client/env.mjs → 200 (11ms, ?B)
[2026-09-13T15:46:53.908Z] GET http://127.0.0.1:5173/src/styles/components.css → 200 (12ms, ?B)
[2026-09-13T15:46:53.908Z] GET http://127.0.0.1:5173/src/styles/variables.css → 200 (11ms, ?B)
[2026-09-13T15:46:53.908Z] GET http://127.0.0.1:5173/src/styles/utilities.css → 200 (12ms, ?B)
[2026-09-13T15:46:53.908Z] GET http://127.0.0.1:5173/src/styles/base.css → 200 (12ms, 1105B)
[2026-09-13T15:46:53.908Z] GET http://127.0.0.1:5173/src/styles/panes.css → 200 (17ms, ?B)
[2026-09-13T15:46:53.908Z] GET http://127.0.0.1:5173/src/js/router.js → 200 (18ms, ?B)
[2026-09-13T15:46:53.910Z] GET https://fonts.gstatic.com/s/manrope/v20/xn7gYHE41ni1AdIRggexSvfedN4.woff2 → 200 (?ms, -815B)
